Unet,UnetCoupe2Max,Unet_C2_Aug,Unet_C2_Aug_Crea9,Unet_C2_Aug_wm149
0.885593220338983,0.2907563025210084,0.5670840787119857,0.49557522123893805,0.7928436911487758
0.9230769230769231,0.7158469945355191,0.6348246674727932,0.8837209302325582,0.89
0.8089260808926081,0.7414698162729659,0.7745901639344263,0.8220946915351507,0.7836021505376344
0.8530927835051546,0.8658698539176627,0.9163237311385459,0.9190340909090909,0.9006622516556292
0.7946537059538274,0.9215116279069767,0.9134199134199135,0.8590116279069767,0.9258741258741259
0.8124267291910903,0.8995983935742972,0.910547396528705,0.8775235531628532,0.8619402985074627
0.8175182481751825,0.7911227154046997,0.9148936170212766,0.8674698795180723,0.8901515151515151
0.8603773584905661,0.8362183754993342,0.8919949174078781,0.8515519568151148,0.9001280409731114
0.8376383763837638,0.8541935483870968,0.887409200968523,0.8353221957040573,0.8919902912621359
0.8112712975098296,0.8185430463576159,0.8553459119496856,0.9172141918528253,0.8793532338308457
0.7634660421545667,0.7772397094430993,0.8683274021352313,0.925,0.8600917431192661
0.7222820236813778,0.8039430449069004,0.8571428571428571,0.9026651216685979,0.8790149892933619
0.7199533255542591,0.8362168396770473,0.8611713665943601,0.8660287081339713,0.8896396396396397
0.5032119914346895,0.746588693957115,0.8046875,0.8444902162718847,0.8081002892960463
0.49478079331941544,0.6569416498993964,0.8152610441767069,0.8417786970010341,0.7579250720461095
0.46209016393442626,0.6371595330739299,0.8447082096933729,0.8438133874239351,0.8063943161634103
0.4175257731958763,0.6633761105626851,0.8409311348205626,0.8957055214723927,0.8292452830188679
0.3787575150300601,0.6897233201581028,0.8019047619047619,0.8631889763779528,0.8564981949458483
0.3535645472061657,0.704995287464656,0.833641404805915,0.8878326996197718,0.7926530612244898
0.3426517571884984,0.7305025996533796,0.8540955631399317,0.8313253012048193,0.7882177479492916
0.35289691497366443,0.7272727272727273,0.8338788870703764,0.8557213930348259,0.8633879781420765
0.42157612853863813,0.7078477078477079,0.8571428571428571,0.8846480067854113,0.9223057644110275
0.4318181818181818,0.8109803921568628,0.8855218855218855,0.8924731182795699,0.9022988505747126
0.4369951534733441,0.8484349258649094,0.8708053691275168,0.873083475298126,0.85995085995086
0.6290773532152842,0.8826125330979699,0.8607142857142858,0.8271827182718272,0.8505457598656591
0.6948717948717948,0.8250853242320819,0.8368915456874466,0.6931034482758621,0.889451476793249
0.8913793103448275,0.8725406330196749,0.8655394524959742,0.7938408896492729,0.8425460636515912
0.9007765314926661,0.8687035507844756,0.8960603520536463,0.8370307167235495,0.8536379018612521
0.8860103626943006,0.8474159146841673,0.905090595340811,0.8953594176524113,0.9180470793374019
0.8901192504258943,0.8648874061718098,0.8973927670311186,0.8116298116298116,0.9104991394148021
0.81006006006006,0.7670299727520435,0.8188920454545454,0.7994350282485876,0.8600706713780919
0.8194254445964432,0.6989319092122831,0.8029004614370469,0.6913073237508556,0.7392739273927392
0.7634478289047311,0.6231122783978988,0.7440633245382586,0.5766666666666667,0.7437745740498034
0.78839590443686,0.5783752860411899,0.5974551764025449,0.5596276905177429,0.7137911136757069
0.7793103448275862,0.5370902817711328,0.7465224111282844,0.5886287625418061,0.6381733021077284
0.763757643135075,0.554726368159204,0.7532975085490963,0.6694957563654518,0.7213284898806435
0.7718918918918919,0.6583541147132169,0.788621873467386,0.6477654973570399,0.731404958677686
0.8084994753410283,0.6638176638176638,0.781292984869326,0.7427325581395349,0.6720763723150358
0.7456225680933852,0.6590341382181515,0.7103509551310528,0.6730088495575222,0.7165919282511211
0.6643806258036863,0.6091686091686092,0.673939393939394,0.6365180467091295,0.64853228962818
0.6785437645236251,0.5361733382298935,0.6703952274422073,0.6026717557251908,0.631184407796102
