Unet_final_w22,Unet_final_w24,Unet_final_w33,Unet_final_w39,Unet_final_w1010,Unet_final_w1020,Unet_final_w2020,Unet_final_w2040,Unet_final_w5050
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9998779296875,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99993896484375,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99993896484375,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9998779296875,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99981689453125,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9998779296875,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99969482421875,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99951171875,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99993896484375,1.0,1.0,0.99871826171875
1.0,1.0,1.0,1.0,1.0,0.999755859375,1.0,1.0,0.9998779296875
1.0,1.0,1.0,1.0,1.0,0.9998779296875,1.0,1.0,0.9993896484375
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999267578125
1.0,1.0,1.0,1.0,1.0,0.9989013671875,1.0,1.0,0.9967041015625
1.0,1.0,1.0,1.0,1.0,0.99951171875,1.0,1.0,0.99713134765625
1.0,1.0,1.0,1.0,1.0,0.99981689453125,1.0,1.0,0.99615478515625
1.0,1.0,1.0,1.0,0.99993896484375,0.99945068359375,1.0,1.0,0.99542236328125
1.0,1.0,1.0,1.0,0.99993896484375,0.99932861328125,1.0,1.0,0.99560546875
1.0,0.999755859375,1.0,1.0,0.998291015625,0.99853515625,1.0,1.0,0.9951171875
1.0,1.0,1.0,1.0,0.99993896484375,0.99761962890625,1.0,1.0,0.99884033203125
1.0,1.0,1.0,1.0,0.9981689453125,0.9969482421875,1.0,1.0,0.99725341796875
1.0,1.0,1.0,1.0,1.0,0.9993896484375,1.0,1.0,0.99609375
1.0,1.0,1.0,1.0,1.0,0.99957275390625,1.0,1.0,0.99603271484375
1.0,1.0,1.0,1.0,1.0,0.99981689453125,1.0,0.99908447265625,0.99639892578125
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99884033203125
