Unet_final,Unet_final_w2040
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99908447265625
1.0,1.0
1.0,0.99871826171875
1.0,0.998779296875
1.0,0.99908447265625
1.0,0.9998779296875
1.0,0.99957275390625
1.0,0.9993896484375
1.0,0.99969482421875
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99993896484375
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99969482421875
1.0,0.99993896484375
1.0,0.99993896484375
1.0,1.0
1.0,1.0
1.0,0.999755859375
1.0,0.99957275390625
1.0,0.99932861328125
0.9998779296875,0.99951171875
0.99993896484375,0.9996337890625
1.0,1.0
1.0,0.99993896484375
1.0,0.9996337890625
1.0,0.99993896484375
1.0,0.99993896484375
1.0,0.9996337890625
1.0,0.99969482421875
1.0,0.9998779296875
1.0,0.999755859375
1.0,0.99969482421875
1.0,0.99957275390625
1.0,0.99951171875
1.0,0.99920654296875
1.0,0.99920654296875
1.0,0.99676513671875
1.0,0.99908447265625
1.0,0.99981689453125
1.0,0.99969482421875
1.0,0.99993896484375
1.0,0.99951171875
1.0,0.9998779296875
1.0,0.999755859375
1.0,0.99993896484375
1.0,0.99908447265625
1.0,0.9993896484375
1.0,0.99969482421875
1.0,0.99853515625
1.0,0.99969482421875
1.0,0.99993896484375
1.0,0.9998779296875
1.0,1.0
1.0,0.9998779296875
1.0,1.0
1.0,0.99993896484375
1.0,0.99993896484375
1.0,0.9998779296875
1.0,0.99981689453125
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99993896484375
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99993896484375
1.0,1.0
1.0,0.999755859375
1.0,0.99945068359375
1.0,0.99908447265625
1.0,0.9991455078125
1.0,0.99932861328125
1.0,0.99969482421875
1.0,1.0
1.0,1.0
1.0,0.99969482421875
1.0,0.99853515625
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
