U-Net,U-Net + Creat9,U-Net + WM149,U-Net + WM11050,U-Net + Creat9 + WM149,U-Net + Creat9 + WM11050
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99981689453125,1.0,1.0,1.0,1.0
1.0,0.999755859375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9998779296875,1.0,0.99981689453125
0.99884033203125,1.0,0.99969482421875,0.99932861328125,1.0,0.99908447265625
1.0,1.0,1.0,0.99945068359375,0.99993896484375,0.9998779296875
1.0,1.0,0.9998779296875,0.99761962890625,0.99957275390625,0.99981689453125
1.0,1.0,1.0,0.9979248046875,0.9990234375,0.99993896484375
1.0,1.0,0.99981689453125,0.99981689453125,0.9998779296875,1.0
1.0,1.0,1.0,1.0,0.99993896484375,0.999267578125
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99859619140625,1.0,1.0
1.0,1.0,1.0,0.9991455078125,1.0,1.0
1.0,1.0,1.0,0.99932861328125,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99945068359375,1.0,1.0
1.0,1.0,1.0,0.9996337890625,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99981689453125,1.0,1.0
1.0,1.0,1.0,0.9989013671875,1.0,0.9996337890625
1.0,1.0,1.0,0.9996337890625,1.0,0.9998779296875
1.0,1.0,1.0,0.9998779296875,1.0,0.999755859375
1.0,1.0,1.0,1.0,1.0,0.99993896484375
1.0,1.0,1.0,1.0,1.0,0.9998779296875
1.0,1.0,1.0,0.9998779296875,1.0,0.9998779296875
1.0,1.0,1.0,1.0,1.0,0.99969482421875
1.0,1.0,1.0,0.99993896484375,1.0,0.99981689453125
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,0.99981689453125,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,0.9998779296875
1.0,1.0,1.0,0.99993896484375,1.0,0.999755859375
1.0,1.0,0.99981689453125,0.999755859375,1.0,0.9998779296875
1.0,1.0,0.9998779296875,0.99957275390625,1.0,0.99993896484375
1.0,1.0,0.99981689453125,0.99993896484375,0.99993896484375,0.99993896484375
1.0,1.0,0.9998779296875,0.99945068359375,1.0,1.0
1.0,1.0,0.999267578125,0.9993896484375,1.0,0.9998779296875
1.0,1.0,0.9996337890625,0.99957275390625,1.0,0.99993896484375
1.0,1.0,0.99981689453125,0.999755859375,0.9998779296875,0.99981689453125
1.0,1.0,0.99993896484375,0.999755859375,0.9998779296875,0.99981689453125
1.0,1.0,1.0,0.999755859375,1.0,0.99981689453125
1.0,1.0,0.99993896484375,0.999755859375,1.0,0.99993896484375
1.0,1.0,1.0,0.99957275390625,1.0,1.0
1.0,1.0,1.0,0.99945068359375,1.0,0.99981689453125
1.0,1.0,1.0,0.9990234375,1.0,0.99945068359375
1.0,1.0,0.99993896484375,0.99932861328125,1.0,0.99932861328125
1.0,1.0,0.99993896484375,0.9996337890625,0.99993896484375,0.99932861328125
1.0,1.0,0.9998779296875,0.99969482421875,1.0,0.99859619140625
1.0,1.0,0.99993896484375,0.9990234375,1.0,0.9989013671875
1.0,1.0,1.0,0.99896240234375,0.99993896484375,0.9996337890625
1.0,1.0,1.0,0.99981689453125,0.99993896484375,0.999755859375
1.0,1.0,0.999755859375,0.99981689453125,0.99969482421875,0.9996337890625
1.0,1.0,1.0,0.99993896484375,0.99993896484375,0.9993896484375
1.0,1.0,1.0,0.999755859375,0.99993896484375,0.99969482421875
1.0,1.0,1.0,0.9993896484375,0.99993896484375,0.99920654296875
1.0,1.0,1.0,1.0,1.0,0.99945068359375
1.0,0.99981689453125,0.99981689453125,0.9996337890625,1.0,0.9986572265625
1.0,0.99993896484375,0.9996337890625,0.99957275390625,1.0,0.99798583984375
1.0,1.0,0.999755859375,1.0,1.0,0.99908447265625
1.0,1.0,0.99951171875,0.99981689453125,1.0,0.998291015625
0.9996337890625,0.99993896484375,0.999755859375,0.99993896484375,1.0,0.9986572265625
0.99932861328125,0.999267578125,0.99945068359375,0.99951171875,0.99981689453125,0.99652099609375
1.0,1.0,0.9991455078125,0.999267578125,1.0,0.9971923828125
1.0,1.0,0.99951171875,0.99981689453125,1.0,0.99713134765625
1.0,1.0,0.9996337890625,0.99981689453125,1.0,0.99700927734375
1.0,1.0,0.99969482421875,0.9998779296875,1.0,0.997314453125
1.0,0.99932861328125,1.0,0.99993896484375,0.9998779296875,0.99835205078125
1.0,0.99993896484375,1.0,1.0,1.0,0.99853515625
1.0,1.0,1.0,0.99981689453125,1.0,0.997802734375
1.0,1.0,1.0,0.99993896484375,1.0,0.99700927734375
1.0,1.0,1.0,0.99993896484375,0.9998779296875,0.99713134765625
1.0,1.0,1.0,1.0,1.0,0.99700927734375
1.0,1.0,1.0,1.0,1.0,0.99676513671875
1.0,1.0,1.0,1.0,1.0,0.9979248046875
1.0,1.0,1.0,0.9998779296875,1.0,0.99871826171875
1.0,1.0,1.0,0.9998779296875,1.0,0.9998779296875
1.0,1.0,0.99993896484375,0.9996337890625,1.0,0.999755859375
1.0,1.0,1.0,0.9998779296875,1.0,0.99981689453125
1.0,1.0,1.0,1.0,1.0,0.99981689453125
1.0,1.0,1.0,0.99957275390625,1.0,0.9996337890625
1.0,1.0,1.0,0.99981689453125,1.0,0.9998779296875
1.0,1.0,1.0,0.9998779296875,1.0,0.9998779296875
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,0.99993896484375,0.99981689453125,1.0,0.99993896484375
1.0,1.0,0.9998779296875,0.999267578125,1.0,0.99993896484375
1.0,1.0,0.99993896484375,0.99920654296875,0.99993896484375,0.99981689453125
1.0,1.0,0.999267578125,0.99859619140625,0.99993896484375,0.99945068359375
1.0,1.0,1.0,0.9991455078125,0.99981689453125,0.99957275390625
1.0,1.0,1.0,0.99981689453125,1.0,0.9998779296875
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9962158203125,1.0,1.0
1.0,1.0,1.0,0.99859619140625,1.0,1.0
1.0,1.0,1.0,0.9971923828125,1.0,1.0
1.0,1.0,1.0,0.99578857421875,1.0,1.0
1.0,1.0,1.0,0.9967041015625,1.0,0.9962158203125
1.0,1.0,1.0,0.99658203125,1.0,0.99310302734375
1.0,1.0,1.0,0.99749755859375,1.0,0.99249267578125
1.0,1.0,1.0,0.998779296875,1.0,0.99249267578125
1.0,1.0,1.0,0.9996337890625,1.0,0.9942626953125
1.0,1.0,1.0,0.999267578125,1.0,0.99517822265625
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
