Unet_final,Unet_final_pp
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99993896484375
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.43478260869565216
0.20491803278688525,0.0
0.736,0.008
0.8705882352941177,0.35542168674698793
0.8702702702702703,0.7027027027027027
0.7348837209302326,0.6232558139534884
0.654275092936803,0.49070631970260226
0.6376306620209059,0.4840989399293286
0.48484848484848486,0.08611111111111111
0.3918269230769231,0.11491442542787286
0.30385487528344673,0.0389908256880734
0.0,0.0
0.23423423423423423,0.009009009009009009
0.0,0.002207505518763797
0.05844155844155844,0.03036876355748373
0.1416490486257928,0.21729957805907174
0.24737945492662475,0.18067226890756302
0.2541176470588235,0.2375296912114014
0.22194513715710723,0.2141057934508816
0.17297297297297298,0.15447154471544716
0.02040816326530612,0.0
0.3170731707317073,0.0
0.5540540540540541,0.0
0.6577181208053692,0.2828282828282828
0.624561403508772,0.532608695652174
0.5808823529411765,0.42911877394636017
0.5019762845849802,0.4190871369294606
0.35807860262008734,0.18222222222222223
0.20603015075376885,0.04736842105263158
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.14495412844036698,0.0
0.12754158964879853,0.0
0.4484732824427481,0.08267716535433071
0.6432337434094904,0.3511586452762923
0.7508771929824561,0.40217391304347827
0.68,0.5114068441064639
0.6496212121212122,0.43378119001919385
0.6902985074626866,0.2623574144486692
0.575139146567718,0.03377110694183865
0.5357142857142857,0.15245009074410162
0.3851851851851852,0.2655367231638418
0.32040816326530613,0.12008281573498965
0.4434589800443459,0.2876404494382023
0.503562945368171,0.2822966507177033
0.5778364116094987,0.34408602150537637
0.554089709762533,0.34877384196185285
0.723943661971831,0.28205128205128205
0.8243727598566308,0.1684981684981685
0.8359375,0.5120967741935484
0.74609375,0.5436507936507936
0.45660377358490567,0.16666666666666666
0.0,0.0
0.46116504854368934,0.36082474226804123
0.49222797927461137,0.5240641711229946
0.5705882352941176,0.588957055214724
0.5771144278606966,0.5618556701030928
0.48917748917748916,0.5454545454545454
0.5,0.4835164835164835
0.3010752688172043,0.30434782608695654
0.0,0.28125
0.0,0.0
0.0,0.0
0.99981689453125,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
