Unet_final_w22,Unet_final_w24,Unet_final_w33,Unet_final_w39,Unet_final_w1010,Unet_final_w1020,Unet_final_w2020,Unet_final_w2040,Unet_final_w5050
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99981689453125,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99993896484375
1.0,1.0,0.99993896484375,0.99993896484375,0.99993896484375,0.99993896484375,1.0,1.0,0.9996337890625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99859619140625
1.0,1.0,1.0,1.0,1.0,0.99993896484375,1.0,1.0,0.9991455078125
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998779296875
1.0,0.99945068359375,1.0,1.0,0.99908447265625,0.99993896484375,1.0,0.99993896484375,0.99853515625
1.0,0.9969482421875,1.0,1.0,0.99810791015625,1.0,1.0,1.0,0.99786376953125
1.0,1.0,0.99957275390625,1.0,0.997802734375,1.0,1.0,0.99884033203125,0.99725341796875
1.0,1.0,1.0,1.0,0.9986572265625,0.99993896484375,1.0,0.999755859375,0.99627685546875
1.0,0.99981689453125,1.0,1.0,0.99847412109375,0.9998779296875,1.0,0.99908447265625,0.99560546875
