U-Net,U-Net + Creat9,U-Net + WM149,U-Net + WM11050,U-Net + Creat9 + WM149,U-Net + Creat9 + WM11050
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9996337890625,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9991455078125,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99981689453125,0.99993896484375,1.0
1.0,1.0,1.0,0.99896240234375,1.0,1.0
1.0,1.0,1.0,0.99951171875,1.0,0.99993896484375
1.0,1.0,1.0,0.9991455078125,1.0,0.99993896484375
1.0,1.0,1.0,0.99951171875,1.0,1.0
1.0,1.0,1.0,0.99951171875,0.99993896484375,0.9998779296875
1.0,1.0,0.9996337890625,0.99932861328125,0.99993896484375,0.9990234375
0.0,0.0,0.0,0.3888888888888889,0.45454545454545453,0.25
0.0,0.0,0.21518987341772153,0.5694444444444444,0.0,0.35353535353535354
0.0,0.0,0.044444444444444446,0.4563106796116505,0.0,0.37373737373737376
0.0,0.0,0.03361344537815126,0.19402985074626866,0.0,0.22794117647058823
0.0,0.0,0.0,0.007407407407407408,0.0,0.1347517730496454
0.0,0.0,0.0,0.03409090909090909,0.0,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.014354066985645933
0.0,0.05394190871369295,0.0752212389380531,0.07723577235772358,0.07692307692307693,0.0995850622406639
0.0,0.20357142857142857,0.18840579710144928,0.19298245614035087,0.11808118081180811,0.21352313167259787
0.0,0.04912280701754386,0.20689655172413793,0.17346938775510204,0.0,0.18831168831168832
0.0,0.0,0.22714681440443213,0.03523035230352303,0.0,0.2708333333333333
0.0,0.0,0.03194103194103194,0.0,0.0,0.28674698795180725
0.0,0.0,0.0045871559633027525,0.0,0.0,0.2675736961451247
0.0,0.0,0.0,0.0,0.0,0.09977324263038549
0.0,0.0,0.0,0.0,0.0,0.09192825112107623
0.0,0.0,0.0,0.0,0.0,0.07221006564551423
0.0,0.0,0.0,0.0,0.0,0.12393162393162394
0.0,0.0,0.004228329809725159,0.0,0.0,0.09224318658280922
0.0,0.0,0.0021008403361344537,0.0,0.0,0.09072164948453608
0.0,0.0,0.0,0.0,0.0,0.07764705882352942
0.0,0.0,0.0,0.007614213197969543,0.0,0.0327455919395466
0.0,0.0,0.0,0.0,0.0,0.08310991957104558
0.0,0.0,0.040955631399317405,0.030508474576271188,0.0,0.26282051282051283
0.0,0.0,0.12883435582822086,0.044642857142857144,0.0,0.28901734104046245
0.0,0.0,0.20735785953177258,0.22641509433962265,0.05782312925170068,0.34796238244514105
0.0,0.010101010101010102,0.21262458471760798,0.271875,0.10702341137123746,0.3201219512195122
0.0,0.07581227436823104,0.1906474820143885,0.38095238095238093,0.11594202898550725,0.2974683544303797
0.0,0.29277566539923955,0.34444444444444444,0.3745819397993311,0.1417624521072797,0.34551495016611294
0.0,0.28174603174603174,0.3492063492063492,0.33941605839416056,0.2571428571428571,0.28044280442804426
0.048672566371681415,0.2288135593220339,0.30042918454935624,0.3446969696969697,0.26200873362445415,0.2677165354330709
0.1836734693877551,0.16666666666666666,0.1708542713567839,0.1694915254237288,0.18181818181818182,0.17488789237668162
0.09340659340659341,0.06818181818181818,0.07344632768361582,0.10849056603773585,0.096045197740113,0.09178743961352658
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.001941747572815534,0.0036429872495446266,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02617801047120419,0.02214022140221402,0.06357388316151202
0.0,0.045275590551181105,0.10038610038610038,0.12430426716141002,0.17829457364341086,0.24514991181657847
0.0,0.12943262411347517,0.20665499124343256,0.288107202680067,0.25,0.2868217054263566
0.0,0.12365591397849462,0.1622103386809269,0.29132569558101473,0.09566787003610108,0.18630573248407642
0.0,0.020793950850661626,0.15283018867924528,0.20655737704918034,0.01651376146788991,0.09492635024549918
0.03861003861003861,0.0,0.1907514450867052,0.33,0.005639097744360902,0.1388888888888889
0.034220532319391636,0.02095238095238095,0.2144212523719165,0.3542757417102967,0.026515151515151516,0.1634446397188049
0.0,0.0,0.0335195530726257,0.04395604395604396,0.0,0.0586145648312611
0.0,0.008992805755395683,0.032490974729241874,0.037037037037037035,0.0,0.07583774250440917
0.0,0.0,0.016885553470919325,0.020522388059701493,0.0,0.06702898550724638
0.0,0.0,0.010330578512396695,0.03522504892367906,0.0,0.0594059405940594
0.0,0.0,0.020316027088036117,0.07327586206896551,0.0,0.055674518201284794
0.0,0.0,0.004784688995215311,0.00468384074941452,0.0,0.05466970387243736
0.0,0.0,0.018617021276595744,0.046753246753246755,0.002652519893899204,0.04081632653061224
0.0,0.0,0.02956989247311828,0.05759162303664921,0.005449591280653951,0.047493403693931395
0.0,0.0,0.0028011204481792717,0.0,0.0,0.031161473087818695
0.0,0.0,0.010869565217391304,0.013937282229965157,0.0,0.007168458781362007
0.0,0.0,0.0,0.011764705882352941,0.0,0.0
0.0,0.0,0.03937007874015748,0.010309278350515464,0.0,0.09195402298850575
0.04263565891472868,0.0,0.015384615384615385,0.025396825396825397,0.0,0.06620209059233449
0.0935672514619883,0.0,0.03529411764705882,0.016891891891891893,0.0,0.10087719298245613
0.3096446700507614,0.0,0.35678391959798994,0.3895131086142322,0.39800995024875624,0.3900709219858156
0.372972972972973,0.0,0.3802083333333333,0.4458874458874459,0.4479166666666667,0.42063492063492064
0.42073170731707316,0.0,0.4502923976608187,0.43946188340807174,0.5502958579881657,0.43859649122807015
0.09,0.0,0.49,0.42063492063492064,0.13989637305699482,0.4714828897338403
0.10891089108910891,0.0,0.4827586206896552,0.43089430894308944,0.4619289340101523,0.549618320610687
0.0,0.0,0.48947368421052634,0.35658914728682173,0.30939226519337015,0.43253968253968256
0.10326086956521739,0.0,0.16042780748663102,0.2320675105485232,0.18478260869565216,0.4716981132075472
0.08074534161490683,0.0,0.10303030303030303,0.3879781420765027,0.39375,0.4371584699453552
0.11214953271028037,0.0,0.028037383177570093,0.08928571428571429,0.1308411214953271,0.2248062015503876
0.0,0.0,0.0,0.1,0.045454545454545456,0.12048192771084337
1.0,1.0,1.0,0.999267578125,0.999755859375,0.99847412109375
1.0,1.0,1.0,0.99932861328125,1.0,0.99945068359375
1.0,1.0,1.0,0.9991455078125,1.0,0.999755859375
1.0,1.0,1.0,0.999755859375,1.0,0.99945068359375
1.0,1.0,1.0,0.99908447265625,1.0,0.99993896484375
1.0,1.0,1.0,0.9959716796875,1.0,0.99969482421875
1.0,1.0,1.0,0.99578857421875,1.0,1.0
1.0,1.0,0.99981689453125,0.9908447265625,0.99969482421875,0.99932861328125
1.0,1.0,1.0,0.9957275390625,1.0,0.9998779296875
1.0,0.99932861328125,1.0,0.9971923828125,1.0,1.0
1.0,1.0,1.0,0.998779296875,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.99993896484375
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
