Unet_final,Unet_final_w24
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.999755859375
1.0,0.99993896484375
1.0,0.99993896484375
1.0,0.99993896484375
1.0,1.0
1.0,0.99969482421875
1.0,0.9996337890625
0.0,0.29411764705882354
0.0,0.6268656716417911
0.0,0.7291666666666666
0.20491803278688525,0.6439393939393939
0.736,0.706766917293233
0.8705882352941177,0.5052631578947369
0.8702702702702703,0.6142131979695431
0.7348837209302326,0.19298245614035087
0.654275092936803,0.23208191126279865
0.6376306620209059,0.23355263157894737
0.48484848484848486,0.3157894736842105
0.3918269230769231,0.23832923832923833
0.30385487528344673,0.38724373576309795
0.0,0.24774774774774774
0.23423423423423423,0.18243243243243243
0.0,0.17180616740088106
0.05844155844155844,0.16075156576200417
0.1416490486257928,0.014799154334038054
0.24737945492662475,0.12783505154639174
0.2541176470588235,0.31529411764705884
0.22194513715710723,0.21867321867321868
0.17297297297297298,0.002680965147453083
0.02040816326530612,0.02702702702702703
0.3170731707317073,0.0
0.5540540540540541,0.6567656765676567
0.6577181208053692,0.6623376623376623
0.624561403508772,0.56973293768546
0.5808823529411765,0.5524475524475524
0.5019762845849802,0.46153846153846156
0.35807860262008734,0.401673640167364
0.20603015075376885,0.17167381974248927
0.0,0.08994708994708994
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0019193857965451055
0.14495412844036698,0.02010968921389397
0.12754158964879853,0.1057347670250896
0.4484732824427481,0.4981949458483754
0.6432337434094904,0.7291311754684838
0.7508771929824561,0.7411167512690355
0.68,0.7813620071684588
0.6496212121212122,0.8257042253521126
0.6902985074626866,0.8563636363636363
0.575139146567718,0.8140794223826715
0.5357142857142857,0.7593220338983051
0.3851851851851852,0.6854130052724078
0.32040816326530613,0.7027027027027027
0.4434589800443459,0.6894409937888198
0.503562945368171,0.6447368421052632
0.5778364116094987,0.6649616368286445
0.554089709762533,0.6875
0.723943661971831,0.7079889807162535
0.8243727598566308,0.8
0.8359375,0.7343173431734318
0.74609375,0.7119205298013245
0.45660377358490567,0.7163636363636363
0.0,0.6220095693779905
0.46116504854368934,0.45714285714285713
0.49222797927461137,0.6460176991150443
0.5705882352941176,0.7688172043010753
0.5771144278606966,0.817351598173516
0.48917748917748916,0.7945205479452054
0.5,0.7902439024390244
0.3010752688172043,0.7591623036649214
0.0,0.6951219512195121
0.0,0.6194690265486725
0.0,0.0
0.99981689453125,0.99957275390625
1.0,1.0
1.0,0.99896240234375
1.0,1.0
1.0,0.99993896484375
1.0,1.0
1.0,1.0
1.0,0.9986572265625
1.0,0.99798583984375
1.0,0.99957275390625
1.0,0.99847412109375
1.0,1.0
1.0,0.99945068359375
1.0,1.0
1.0,0.9996337890625
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
