Unet,Unet_crea,Unet_final
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.07142857142857142,0.6428571428571429
0.0,0.5294117647058824,0.5882352941176471
0.0,0.6333333333333333,0.7241379310344828
0.0,0.6216216216216216,0.7222222222222222
0.0,0.717391304347826,0.9361702127659575
0.06944444444444445,0.5921052631578947,0.75
0.025974025974025976,0.7435897435897436,0.8205128205128205
0.06666666666666667,0.5789473684210527,0.8666666666666667
0.05660377358490566,0.4,0.7586206896551724
0.12244897959183673,0.3103448275862069,0.5490196078431373
0.1836734693877551,0.36,0.45098039215686275
0.2727272727272727,0.5833333333333334,0.6888888888888889
0.3026315789473684,0.569620253164557,0.6493506493506493
0.2,0.40186915887850466,0.46226415094339623
0.13709677419354838,0.22580645161290322,0.2727272727272727
0.09433962264150944,0.22857142857142856,0.20175438596491227
0.08333333333333333,0.3,0.40476190476190477
0.125,0.22727272727272727,0.29333333333333333
0.0410958904109589,0.17721518987341772,0.32926829268292684
0.05714285714285714,0.1780821917808219,0.4
0.09090909090909091,0.12121212121212122,0.328125
0.33653846153846156,0.42718446601941745,0.6764705882352942
0.46464646464646464,0.47572815533980584,0.7128712871287128
0.43312101910828027,0.45695364238410596,0.6242038216560509
0.4536082474226804,0.553763440860215,0.7391304347826086
0.3915343915343915,0.45549738219895286,0.39473684210526316
0.38926174496644295,0.4423076923076923,0.7808219178082192
0.39805825242718446,0.4260869565217391,0.44554455445544555
0.5063291139240507,0.5,0.25316455696202533
0.30612244897959184,0.32608695652173914,0.3670886075949367
0.30434782608695654,0.27972027972027974,0.4296875
0.33088235294117646,0.375,0.5714285714285714
0.2986111111111111,0.37583892617449666,0.4244604316546763
0.3709677419354839,0.4246575342465753,0.5074626865671642
0.03125,0.1836734693877551,0.41025641025641024
0.10256410256410256,0.19642857142857142,0.23076923076923078
0.0425531914893617,0.1694915254237288,0.2549019607843137
0.1016949152542373,0.5,0.4098360655737705
0.17721518987341772,0.43023255813953487,0.37349397590361444
0.1774193548387097,0.484375,0.5217391304347826
0.2926829268292683,0.313953488372093,0.46511627906976744
0.23404255319148937,0.5208333333333334,0.6956521739130435
0.1836734693877551,0.5576923076923077,0.7659574468085106
0.3,0.46,0.6122448979591837
0.9989013671875,0.998779296875,0.99786376953125
0.2222222222222222,0.35294117647058826,0.6078431372549019
0.1702127659574468,0.4782608695652174,0.48936170212765956
0.1411764705882353,0.345679012345679,0.4375
0.25287356321839083,0.2903225806451613,0.40963855421686746
0.10126582278481013,0.43661971830985913,0.4583333333333333
0.0,0.18867924528301888,0.15384615384615385
0.0,0.27450980392156865,0.34210526315789475
0.0,0.2807017543859649,0.29545454545454547
0.16666666666666666,0.3611111111111111,0.7916666666666666
0.2727272727272727,0.4090909090909091,0.5416666666666666
0.0,0.23529411764705882,0.35294117647058826
0.0,0.46153846153846156,0.8461538461538461
0.0,0.0,0.25
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.45454545454545453,0.7,0.8181818181818182
0.4444444444444444,0.4166666666666667,0.5217391304347826
0.2,0.2777777777777778,0.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,0.99969482421875,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.99993896484375,1.0
1.0,0.99993896484375,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
