Unet_final,Unet_final_w2040
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.99981689453125
1.0,1.0
1.0,1.0
1.0,0.99945068359375
1.0,0.999755859375
1.0,0.99945068359375
1.0,1.0
1.0,0.999755859375
0.0,0.75
0.0,0.875
0.6428571428571429,0.7058823529411765
0.5882352941176471,0.5882352941176471
0.7241379310344828,0.7647058823529411
0.7222222222222222,0.6666666666666666
0.9361702127659575,0.7678571428571429
0.75,0.8433734939759037
0.8205128205128205,0.8314606741573034
0.8666666666666667,0.8064516129032258
0.7586206896551724,0.550561797752809
0.5490196078431373,0.5
0.45098039215686275,0.44155844155844154
0.6888888888888889,0.631578947368421
0.6493506493506493,0.5353535353535354
0.46226415094339623,0.4838709677419355
0.2727272727272727,0.4748201438848921
0.20175438596491227,0.41044776119402987
0.40476190476190477,0.5572519083969466
0.29333333333333333,0.3181818181818182
0.32926829268292684,0.4230769230769231
0.4,0.34959349593495936
0.328125,0.32116788321167883
0.6764705882352942,0.5364238410596026
0.7128712871287128,0.6326530612244898
0.6242038216560509,0.5142857142857142
0.7391304347826086,0.6510638297872341
0.39473684210526316,0.5794392523364486
0.7808219178082192,0.6853932584269663
0.44554455445544555,0.6453900709219859
0.25316455696202533,0.5645161290322581
0.3670886075949367,0.48507462686567165
0.4296875,0.6809815950920245
0.5714285714285714,0.6436781609195402
0.4244604316546763,0.5506329113924051
0.5074626865671642,0.6235294117647059
0.41025641025641024,0.4909090909090909
0.23076923076923078,0.46938775510204084
0.2549019607843137,0.373134328358209
0.4098360655737705,0.5222222222222223
0.37349397590361444,0.5526315789473685
0.5217391304347826,0.5333333333333333
0.46511627906976744,0.6019417475728155
0.6956521739130435,0.5121951219512195
0.7659574468085106,0.5540540540540541
0.6122448979591837,0.4861111111111111
0.99786376953125,0.99664306640625
0.6078431372549019,0.6615384615384615
0.48936170212765956,0.38095238095238093
0.4375,0.41935483870967744
0.40963855421686746,0.5252525252525253
0.4583333333333333,0.3978494623655914
0.15384615384615385,0.1506849315068493
0.34210526315789475,0.3333333333333333
0.29545454545454547,0.30120481927710846
0.7916666666666666,0.41818181818181815
0.5416666666666666,0.625
0.35294117647058826,0.8333333333333334
0.8461538461538461,1.0
0.25,0.8888888888888888
0.0,0.0
1.0,0.999755859375
0.0,0.1111111111111111
0.0,0.0
0.0,0.0
0.8181818181818182,0.4090909090909091
0.5217391304347826,0.5
0.0,0.5
1.0,0.9998779296875
1.0,0.9998779296875
1.0,0.9998779296875
1.0,0.99981689453125
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.999755859375
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
