U-Net,U-Net + Creat9,U-Net + WM149,U-Net + WM11050,U-Net + Creat9 + WM149,U-Net + Creat9 + WM11050
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.9989013671875
1.0,1.0,1.0,1.0,1.0,0.99932861328125
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,0.99993896484375,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9998779296875,1.0,1.0
1.0,1.0,1.0,0.99969482421875,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.99969482421875,1.0,1.0
1.0,1.0,1.0,0.999267578125,1.0,1.0
0.0,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.0,0.0,0.25,0.0,0.0
0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,0.6
0.0,0.5294117647058824,0.0,0.47058823529411764,0.0,0.47619047619047616
0.0,0.6333333333333333,0.3793103448275862,0.696969696969697,0.10344827586206896,0.5142857142857142
0.0,0.6216216216216216,0.38235294117647056,0.675,0.3235294117647059,0.5227272727272727
0.0,0.717391304347826,0.4444444444444444,0.6842105263157895,0.4897959183673469,0.625
0.06944444444444445,0.5921052631578947,0.5657894736842105,0.6049382716049383,0.5733333333333334,0.6404494382022472
0.025974025974025976,0.7435897435897436,0.6282051282051282,0.6206896551724138,0.7,0.7096774193548387
0.06666666666666667,0.5789473684210527,0.569620253164557,0.5851063829787234,0.6219512195121951,0.6435643564356436
0.05660377358490566,0.4,0.4189189189189189,0.425531914893617,0.4626865671641791,0.5333333333333333
0.12244897959183673,0.3103448275862069,0.375,0.358695652173913,0.27419354838709675,0.4166666666666667
0.1836734693877551,0.36,0.273972602739726,0.30952380952380953,0.2982456140350877,0.4533333333333333
0.2727272727272727,0.5833333333333334,0.5084745762711864,0.5076923076923077,0.5625,0.4782608695652174
0.3026315789473684,0.569620253164557,0.5402298850574713,0.4857142857142857,0.5308641975308642,0.5463917525773195
0.2,0.40186915887850466,0.2631578947368421,0.4426229508196721,0.2761904761904762,0.3828125
0.13709677419354838,0.22580645161290322,0.2878787878787879,0.38028169014084506,0.16666666666666666,0.32867132867132864
0.09433962264150944,0.22857142857142856,0.22131147540983606,0.2887323943661972,0.13559322033898305,0.22058823529411764
0.08333333333333333,0.3,0.38333333333333336,0.4732824427480916,0.21487603305785125,0.3037037037037037
0.125,0.22727272727272727,0.3939393939393939,0.32323232323232326,0.203125,0.3611111111111111
0.0410958904109589,0.17721518987341772,0.30666666666666664,0.422680412371134,0.2702702702702703,0.38095238095238093
0.05714285714285714,0.1780821917808219,0.3950617283950617,0.37,0.2716049382716049,0.3723404255319149
0.09090909090909091,0.12121212121212122,0.3037974683544304,0.26956521739130435,0.22784810126582278,0.30303030303030304
0.33653846153846156,0.42718446601941745,0.6666666666666666,0.5514705882352942,0.4766355140186916,0.65
0.46464646464646464,0.47572815533980584,0.5833333333333334,0.5364238410596026,0.6792452830188679,0.6692913385826772
0.43312101910828027,0.45695364238410596,0.45348837209302323,0.5360824742268041,0.49162011173184356,0.472636815920398
0.4536082474226804,0.553763440860215,0.5329949238578681,0.6604651162790698,0.6294416243654822,0.59375
0.3915343915343915,0.45549738219895286,0.5357142857142857,0.6100917431192661,0.595,0.5818965517241379
0.38926174496644295,0.4423076923076923,0.656441717791411,0.664804469273743,0.732484076433121,0.6373056994818653
0.39805825242718446,0.4260869565217391,0.6260162601626016,0.6133333333333333,0.5929203539823009,0.5833333333333334
0.5063291139240507,0.5,0.47368421052631576,0.42748091603053434,0.5368421052631579,0.4460431654676259
0.30612244897959184,0.32608695652173914,0.53,0.48739495798319327,0.4854368932038835,0.3793103448275862
0.30434782608695654,0.27972027972027974,0.48226950354609927,0.5136986301369864,0.44285714285714284,0.43548387096774194
0.33088235294117646,0.375,0.41605839416058393,0.4429530201342282,0.4580152671755725,0.42105263157894735
0.2986111111111111,0.37583892617449666,0.4154929577464789,0.4166666666666667,0.4246575342465753,0.41414141414141414
0.3709677419354839,0.4246575342465753,0.5633802816901409,0.4945054945054945,0.6027397260273972,0.31756756756756754
0.03125,0.1836734693877551,0.3191489361702128,0.3387096774193548,0.36363636363636365,0.24691358024691357
0.10256410256410256,0.19642857142857142,0.14285714285714285,0.23880597014925373,0.18518518518518517,0.35294117647058826
0.0425531914893617,0.1694915254237288,0.23076923076923078,0.27058823529411763,0.24561403508771928,0.45454545454545453
0.1016949152542373,0.5,0.45161290322580644,0.358974358974359,0.36507936507936506,0.3142857142857143
0.17721518987341772,0.43023255813953487,0.4583333333333333,0.3404255319148936,0.4943820224719101,0.4122137404580153
0.1774193548387097,0.484375,0.5897435897435898,0.3409090909090909,0.4583333333333333,0.4782608695652174
0.2926829268292683,0.313953488372093,0.5057471264367817,0.4842105263157895,0.38823529411764707,0.5047619047619047
0.23404255319148937,0.5208333333333334,0.5370370370370371,0.4266666666666667,0.5918367346938775,0.42857142857142855
0.1836734693877551,0.5576923076923077,0.5185185185185185,0.4533333333333333,0.6274509803921569,0.4788732394366197
0.3,0.46,0.38333333333333336,0.5483870967741935,0.5576923076923077,0.3875
0.9989013671875,0.998779296875,0.9979248046875,0.99737548828125,0.99859619140625,0.99652099609375
0.2222222222222222,0.35294117647058826,0.3888888888888889,0.4305555555555556,0.3728813559322034,0.3880597014925373
0.1702127659574468,0.4782608695652174,0.44,0.38461538461538464,0.45098039215686275,0.36507936507936506
0.1411764705882353,0.345679012345679,0.345679012345679,0.44545454545454544,0.3563218390804598,0.33962264150943394
0.25287356321839083,0.2903225806451613,0.4318181818181818,0.6074766355140186,0.4175824175824176,0.40350877192982454
0.10126582278481013,0.43661971830985913,0.4157303370786517,0.4864864864864865,0.26436781609195403,0.36036036036036034
0.0,0.18867924528301888,0.1346153846153846,0.417910447761194,0.24528301886792453,0.13402061855670103
0.0,0.27450980392156865,0.3181818181818182,0.36507936507936506,0.2222222222222222,0.24358974358974358
0.0,0.2807017543859649,0.3125,0.42028985507246375,0.21739130434782608,0.275
0.16666666666666666,0.3611111111111111,0.7083333333333334,0.4772727272727273,0.72,0.3877551020408163
0.2727272727272727,0.4090909090909091,0.43478260869565216,0.5714285714285714,0.45454545454545453,0.37142857142857144
0.0,0.23529411764705882,0.2631578947368421,0.4090909090909091,0.3333333333333333,0.42857142857142855
0.0,0.46153846153846156,0.4375,0.4090909090909091,0.21428571428571427,0.6111111111111112
0.0,0.0,0.2857142857142857,0.35294117647058826,0.3333333333333333,0.5714285714285714
0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.99981689453125,0.99957275390625,0.999755859375,0.99993896484375
0.0,0.0,0.0,0.15384615384615385,0.0,0.125
0.0,0.0,0.0,0.25,0.0,0.5
0.0,0.0,0.0,0.0,0.0,0.25
0.45454545454545453,0.7,0.5833333333333334,0.4,0.35714285714285715,0.6923076923076923
0.4444444444444444,0.4166666666666667,0.47058823529411764,0.47619047619047616,0.4,0.5882352941176471
0.2,0.2777777777777778,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.7
1.0,0.99993896484375,1.0,0.9998779296875,1.0,0.9998779296875
1.0,1.0,0.999755859375,0.999755859375,1.0,0.99981689453125
1.0,0.99993896484375,1.0,0.9996337890625,0.99993896484375,0.9996337890625
1.0,1.0,1.0,0.9996337890625,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9996337890625,1.0,1.0
1.0,1.0,1.0,0.999755859375,1.0,1.0
1.0,1.0,1.0,0.9990234375,1.0,0.99993896484375
1.0,1.0,1.0,0.99908447265625,1.0,1.0
1.0,1.0,1.0,0.9986572265625,1.0,0.99993896484375
1.0,1.0,1.0,0.9998779296875,1.0,0.9981689453125
1.0,1.0,1.0,0.99853515625,1.0,0.9967041015625
1.0,1.0,1.0,0.9984130859375,1.0,0.9967041015625
1.0,1.0,1.0,0.9981689453125,1.0,0.99554443359375
1.0,1.0,1.0,0.99884033203125,1.0,0.99591064453125
1.0,1.0,1.0,0.9998779296875,1.0,0.99578857421875
1.0,1.0,1.0,0.9970703125,1.0,0.995849609375
1.0,1.0,1.0,0.99853515625,1.0,0.9976806640625
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99969482421875,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,0.99993896484375,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
