Detect + U-Net,Detect + U-Net + Creat9,Detect + U-Net + WM149,Detect + U-Net + WM124,Detect + U-Net + Creat + WM149,U_Net Multi 1,U_Net Multi 2,U_Net Multi 3,U-Net Coupé,U-Net Manu,U-Net ++,Small U-Net
0.92,0.9421487603305785,0.8784313725490196,0.9382716049382716,0.9205020920502092,0.9477911646586346,0.8820960698689956,0.6451612903225806,0.9435483870967742,0.902127659574468,0.9322709163346613,0.9512195121951219
0.8914549653579676,0.9234338747099768,0.8631090487238979,0.8878281622911695,0.892018779342723,0.926605504587156,0.8856447688564477,0.7747252747252747,0.8983451536643026,0.8921568627450981,0.9333333333333333,0.8942307692307693
0.9641185647425897,0.9613601236476044,0.939873417721519,0.9408,0.9419152276295133,0.9468892261001517,0.912396694214876,0.8029197080291971,0.9478672985781991,0.9495268138801262,0.9507154213036566,0.9490445859872612
0.9534883720930233,0.9603072983354674,0.9361147327249022,0.9397905759162304,0.9496774193548387,0.9164677804295943,0.9252948885976409,0.8140556368960469,0.9494163424124513,0.9299867899603699,0.9243027888446215,0.952258064516129
0.910958904109589,0.9370146678170836,0.8290076335877863,0.9045226130653267,0.9334470989761092,0.9219391947411668,0.9062226117440841,0.8311195445920304,0.9150779896013865,0.9008849557522124,0.9152249134948097,0.9233419465977606
0.9355410999408634,0.9475524475524476,0.9314586994727593,0.9300411522633745,0.9352014010507881,0.9353176874642244,0.9185274592637296,0.8718274111675127,0.935693215339233,0.9369797859690844,0.9297619047619048,0.9366489046773239
0.9527093596059113,0.9616318601262749,0.955078125,0.9495345418912298,0.9544341009309162,0.9578139980824545,0.9409409409409409,0.9054054054054054,0.9577603143418467,0.9570731707317073,0.9567354965585054,0.9560493827160493
0.9484265734265734,0.958904109589041,0.944396177237185,0.9483282674772037,0.9479166666666666,0.953144786829886,0.9398859148749451,0.9040844424047728,0.9529157667386609,0.9584040747028862,0.9564838990426457,0.9510186389250108
0.9631949882537196,0.9671434093544646,0.9519718859820383,0.9574052364204767,0.9632495164410058,0.9677664012135002,0.9605930550136559,0.9271469271469271,0.9537177541729894,0.9497954629973968,0.9649532710280374,0.962906309751434
0.9585585585585585,0.961864406779661,0.9564904710535779,0.9515895953757225,0.9591982820329277,0.9573426573426573,0.9555236728837877,0.9270833333333334,0.9576964095271951,0.9672245467224547,0.9603995718872637,0.9607357622921825
0.9694323144104804,0.9708416169648774,0.9591973244147157,0.9579945799457995,0.9563187729243081,0.9612756264236902,0.9595687331536388,0.9335664335664335,0.9641672196416722,0.9567779960707269,0.970970970970971,0.962396006655574
0.964935064935065,0.9686591276252019,0.9569439948203302,0.9621834922722788,0.9569439948203302,0.9470031545741325,0.9573150863473444,0.9439946018893387,0.9540636042402827,0.9527134243097429,0.9679092382495948,0.967511371020143
0.9473684210526315,0.9571298266950441,0.9476885644768857,0.9492369978199938,0.9499083689676237,0.9449431478156792,0.9418960244648318,0.9300254452926209,0.9392737259688739,0.9457082195935699,0.9496490692706744,0.9527631985180611
0.9245843230403801,0.931044687777449,0.9389200354086751,0.9333733493397359,0.9364093463472345,0.9269565217391305,0.9312796208530806,0.9308022045315371,0.9285927696444577,0.9262536873156342,0.9225749035894394,0.9281045751633987
0.9681241184767277,0.9751972942502819,0.9577226606538896,0.9663049685893775,0.9592582186007306,0.9645036051026068,0.9708792762227877,0.9623188405797102,0.9700427960057061,0.9635901778154107,0.9729113202167095,0.9641546711826136
0.9306167400881057,0.928118975488846,0.9134720700985761,0.924496644295302,0.9213853765805388,0.9313725490196079,0.9342214820982515,0.9290359061351428,0.9406544647809207,0.9352159468438538,0.9317738791423001,0.9313399778516057
